lnr,forening,name,kommune,year,tonnes,method,lime,nve_nr,utm33_north,utm33_east,lat,lon
1146,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2003,75.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
1147,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2004,72.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
1148,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2005,68.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
1149,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2006,60.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
1150,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2008,60.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
1151,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2009,40.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
1152,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2010,40.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
1153,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2011,60.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
1154,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2012,50.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
1155,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2013,40.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
1156,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2014,50.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
1157,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2015,40.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
1158,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2015,40.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
1159,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2017,40.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
1160,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2018,40.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
1161,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2019,42.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
1162,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2020,42.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
1163,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2021,40.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
1138,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2022,40.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
1515,Uråna Fiskelag,Hunsdalsvatn,Grimstad,2001,15.8,Båt,Kalksteinmel,10711,6499191,119343,58.4667,8.46857
1516,Uråna Fiskelag,Hunsdalsvatn,Grimstad,2003,15.0,Båt,Kalksteinmel,10711,6499191,119343,58.4667,8.46857
1633,Hinnebu Sportsfiskere,Håvatnet,Froland,2002,20.0,Båt,Kalksteinmel,10313,6509175,122571,58.5586,8.50704
1634,Hinnebu Sportsfiskere,Håvatnet,Froland,2005,15.0,Båt,Kalksteinmel,10313,6509175,122571,58.5586,8.50704
1705,Vegårshei JFF,Kallbergsvatnet,Vegårdshei,2001,28.0,Båt,Kalksteinmel,8980,6532208,148917,58.7863,8.92145
1706,Vegårshei JFF,Kallbergsvatnet,Vegårdshei,2002,15.0,Båt,Kalksteinmel,8980,6532208,148917,58.7863,8.92145
1707,Vegårshei JFF,Kallbergsvatnet,Vegårdshei,2003,20.0,Båt,Kalksteinmel,8980,6532208,148917,58.7863,8.92145
1708,Vegårshei JFF,Kallbergsvatnet,Vegårdshei,2004,15.0,Båt,Kalksteinmel,8980,6532208,148917,58.7863,8.92145
1768,Gjerstad JFF - Aust-Agder,Kleivvatn,Gjerstad,2002,25.0,Båt,Kalksteinmel,8330,6543713,148628,58.8888,8.89837
1772,Gjerstad JFF - Aust-Agder,Kleivvatn,Gjerstad,2005,24.0,Båt,Kalksteinmel,8330,6543713,148628,58.8888,8.89837
1775,Gjerstad JFF - Aust-Agder,Kleivvatn,Gjerstad,2007,26.0,Båt,Kalksteinmel,8330,6543713,148628,58.8888,8.89837
1785,Gjerstad JFF - Aust-Agder,Kleivvatn,Gjerstad,2016,20.0,Båt,Kalksteinmel,8330,6543713,148628,58.8888,8.89837
1787,Gjerstad JFF - Aust-Agder,Kleivvatn,Gjerstad,2018,15.0,Båt,Kalksteinmel,8330,6543713,148628,58.8888,8.89837
1788,Gjerstad JFF - Aust-Agder,Kleivvatn,Gjerstad,2019,18.0,Båt,Kalksteinmel,8330,6543713,148628,58.8888,8.89837
1789,Gjerstad JFF - Aust-Agder,Kleivvatn,Gjerstad,2020,18.0,Båt,Kalksteinmel,8330,6543713,148628,58.8888,8.89837
1790,Gjerstad JFF - Aust-Agder,Kleivvatn,Gjerstad,2021,15.0,Båt,Kalksteinmel,8330,6543713,148628,58.8888,8.89837
1751,Gjerstad JFF - Aust-Agder,Kleivvatn,Gjerstad,2022,15.0,Båt,Kalksteinmel,8330,6543713,148628,58.8888,8.89837
1812,Håland-Kiland-Bjørkos Grl,Kollandsvann,Grimstad,2001,28.0,Båt,Kalksteinmel,10722,6498888,117517,58.4624,8.43798
1813,Håland-Kiland-Bjørkos Grl,Kollandsvann,Grimstad,2003,20.0,Båt,Kalksteinmel,10722,6498888,117517,58.4624,8.43798
1814,Håland-Kiland-Bjørkos Grl,Kollandsvann,Grimstad,2005,16.0,Båt,Kalksteinmel,10722,6498888,117517,58.4624,8.43798
1815,Håland-Kiland-Bjørkos Grl,Kollandsvann,Grimstad,2011,16.0,Båt,Kalksteinmel,10722,6498888,117517,58.4624,8.43798
1816,Håland-Kiland-Bjørkos Grl,Kollandsvann,Grimstad,2016,12.0,Båt,Kalksteinmel,10722,6498888,117517,58.4624,8.43798
1817,Håland-Kiland-Bjørkos Grl,Kollandsvann,Grimstad,2019,12.0,Båt,Kalksteinmel,10722,6498888,117517,58.4624,8.43798
1818,Håland-Kiland-Bjørkos Grl,Kollandsvann,Grimstad,2020,12.0,Båt,Kalksteinmel,10722,6498888,117517,58.4624,8.43798
1819,Håland-Kiland-Bjørkos Grl,Kollandsvann,Grimstad,2021,12.0,Båt,Kalksteinmel,10722,6498888,117517,58.4624,8.43798
1805,Håland-Kiland-Bjørkos Grl,Kollandsvann,Grimstad,2022,10.0,Båt,Kalksteinmel,10722,6498888,117517,58.4624,8.43798
1987,Kyllandsvann Grunneierfor.,Kyllandsvann,Birkenes,2001,16.0,Båt,Kalksteinmel,10610,6503014,107824,58.4906,8.26592
1988,Kyllandsvann Grunneierfor.,Kyllandsvann,Birkenes,2003,15.0,Båt,Kalksteinmel,10610,6503014,107824,58.4906,8.26592
1989,Kyllandsvann Grunneierfor.,Kyllandsvann,Birkenes,2005,13.0,Båt,Kalksteinmel,10610,6503014,107824,58.4906,8.26592
1990,Kyllandsvann Grunneierfor.,Kyllandsvann,Birkenes,2009,15.0,Båt,Kalksteinmel,10610,6503014,107824,58.4906,8.26592
1991,Kyllandsvann Grunneierfor.,Kyllandsvann,Birkenes,2010,15.0,Båt,Kalksteinmel,10610,6503014,107824,58.4906,8.26592
